year,sales,pred_sales,cum_sales,cum_pred
2012,1300000.0,4067951.2323525036,1300000.0,4067951.2323525036
2013,4500000.0,7180919.153331636,5800000.0,11248870.38568414
2014,10900000.0,11738788.242253592,16700000.0,22987658.627937734
2015,21355000.0,16950266.205202945,38055000.0,39937924.83314068
2016,22295000.0,20509098.931260608,60350000.0,60447023.76440129
2017,15343000.0,20074266.95577215,75693000.0,80521290.72017343
2018,13939000.0,15962839.265283018,89632000.0,96484129.98545645
2019,15988000.0,10742093.377297143,105620000.0,107226223.3627536
